player,team,position,detailed_position,player_uuid,team_uuid,team_code,age,shirt_number,wc_matches,wc_minutes,wc_goals,wc_assists,wc_goal_assists,wc_xg,wc_xa,wc_shots,wc_shots_on_target,wc_chances_created,wc_passes,wc_successful_passes,wc_pass_completion,wc_final_third_passes,wc_successful_final_third_passes,wc_carries,wc_progressive_carries,wc_carry_distance,wc_progressive_carry_distance,wc_tackles,wc_interceptions,wc_recoveries,wc_blocks,wc_clearances,wc_aerial_duels,wc_aerial_duels_won,wc_yellows,wc_reds,wc_fouls_committed,wc_offsides,wc_saves,wc_save_pct,wc_goals_prevented,wc_xgot_conceded,wc_goals_conceded,source,source_url,last_updated,accessed_date
Achref Abada,Algeria,Defender,Central Defender,701538,cbx8lz7loz866tsoawwrpxyl9,ALG,27.07,3,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,The Analyst Opta player stats,https://dataviz.theanalyst.com/project-data/soccer/873cbl9cd9butm4air0mugxzo/player-stats.json,2026-07-02 04:50:00.984280,2026-07-02
Adil Boulbina,Algeria,Forward,Winger,7kw1brmw80nyb03d198dfzhg4,cbx8lz7loz866tsoawwrpxyl9,ALG,23.18,20,1,9,0,0,0,0.0,0.007,0,0,0,11,11,100.0,4,4,5,2,50.231,5.565,0,0,1,0,0,0,0,0,0,0,0,,,,,,The Analyst Opta player stats,https://dataviz.theanalyst.com/project-data/soccer/873cbl9cd9butm4air0mugxzo/player-stats.json,2026-07-02 04:50:00.984280,2026-07-02
Amine Gouiri,Algeria,Forward,Striker,6u2ob6fv950r1qve8uejkq2uh,cbx8lz7loz866tsoawwrpxyl9,ALG,26.39,9,3,221,1,0,1,0.49,0.071,3,2,1,50,45,90.0,21,17,21,8,223.706,58.59,1,0,5,0,1,4,1,0,0,1,0,,,,,,The Analyst Opta player stats,https://dataviz.theanalyst.com/project-data/soccer/873cbl9cd9butm4air0mugxzo/player-stats.json,2026-07-02 04:50:00.984280,2026-07-02
Anis Hadj Moussa,Algeria,Forward,Winger,dwyl0yii553i57u7azfa7d15g,cbx8lz7loz866tsoawwrpxyl9,ALG,24.4,11,2,78,0,0,0,0.15,0.111,2,0,3,28,23,82.14,15,12,14,10,156.988,91.35,1,1,4,0,0,0,0,0,0,0,0,,,,,,The Analyst Opta player stats,https://dataviz.theanalyst.com/project-data/soccer/873cbl9cd9butm4air0mugxzo/player-stats.json,2026-07-02 04:50:00.984280,2026-07-02
Aïssa Mandi,Algeria,Defender,Central Defender,7c2qwyzh82a45s25zmdahrd91,cbx8lz7loz866tsoawwrpxyl9,ALG,34.72,2,3,270,0,0,0,0.0,0.059,0,0,3,311,293,94.21,35,26,69,48,684.521,454.125,4,2,10,0,12,10,3,0,0,0,0,,,,,,The Analyst Opta player stats,https://dataviz.theanalyst.com/project-data/soccer/873cbl9cd9butm4air0mugxzo/player-stats.json,2026-07-02 04:50:00.984280,2026-07-02
Farès Chaïbi,Algeria,Midfielder,Attacking Midfielder,684cguhktvth28ql6qgvvmcyc,cbx8lz7loz866tsoawwrpxyl9,ALG,23.61,10,3,270,0,0,0,0.37,0.148,8,2,2,190,169,88.95,63,46,38,13,317.516,114.345,5,3,13,1,4,4,3,0,0,1,1,,,,,,The Analyst Opta player stats,https://dataviz.theanalyst.com/project-data/soccer/873cbl9cd9butm4air0mugxzo/player-stats.json,2026-07-02 04:50:00.984280,2026-07-02
Farès Ghedjemis,Algeria,Forward,Winger,56oxuwxbszkg8xjic1bizd1xw,cbx8lz7loz866tsoawwrpxyl9,ALG,23.84,25,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,The Analyst Opta player stats,https://dataviz.theanalyst.com/project-data/soccer/873cbl9cd9butm4air0mugxzo/player-stats.json,2026-07-02 04:50:00.984280,2026-07-02
Hicham Boudaoui,Algeria,Midfielder,Central Midfielder,e7e68wlpiqqohpg71oh4vrbl6,cbx8lz7loz866tsoawwrpxyl9,ALG,26.79,14,2,109,0,0,0,0.0,0.53,0,0,2,75,72,96.0,16,15,15,6,137.69,69.825,3,1,9,0,2,1,1,0,0,2,0,,,,,,The Analyst Opta player stats,https://dataviz.theanalyst.com/project-data/soccer/873cbl9cd9butm4air0mugxzo/player-stats.json,2026-07-02 04:50:00.984280,2026-07-02
Houssem Aouar,Algeria,Midfielder,Attacking Midfielder,412hlm2edd05jd1ad597brcvd,cbx8lz7loz866tsoawwrpxyl9,ALG,28.02,8,2,115,0,2,2,0.06,0.474,1,0,3,59,56,94.92,19,17,20,8,209.237,62.16,2,0,4,0,0,1,0,0,0,1,0,,,,,,The Analyst Opta player stats,https://dataviz.theanalyst.com/project-data/soccer/873cbl9cd9butm4air0mugxzo/player-stats.json,2026-07-02 04:50:00.984280,2026-07-02
Ibrahim Maza,Algeria,Midfielder,Attacking Midfielder,9x0s8mzjc9ey0q812sn3poums,cbx8lz7loz866tsoawwrpxyl9,ALG,20.62,22,3,261,0,0,0,1.13,0.19,8,3,3,109,90,82.57,47,32,50,27,517.607,252.84,2,0,4,0,0,2,2,0,0,0,0,,,,,,The Analyst Opta player stats,https://dataviz.theanalyst.com/project-data/soccer/873cbl9cd9butm4air0mugxzo/player-stats.json,2026-07-02 04:50:00.984280,2026-07-02
